,vocab,vocab_freq,vocab_df
0,city,18791,268
1,fund,13507,262
2,financial,9396,268
3,year,7152,265
4,statements,7042,268
5,funds,7014,253
6,net,5427,254
7,governmental,5328,248
8,million,5119,182
9,activities,4619,267
10,general,4488,263
11,position,4246,244
12,capital,4239,249
13,balance,4125,250
14,assets,3713,258
15,information,3451,268
16,debt,3377,244
17,total,3244,249
18,revenues,3147,265
19,fiscal,3077,236
20,increase,2963,242
21,budget,2816,246
22,increased,2479,249
23,tax,2441,233
24,new,2209,259
25,statement,2197,247
26,state,2190,254
27,governmentwide,2187,225
28,resources,2168,240
29,expenditures,2167,244
30,due,2123,251
31,revenue,2025,238
32,reported,2002,254
33,services,1964,243
34,expenses,1893,251
35,provide,1812,268
36,report,1806,265
37,water,1798,202
38,used,1756,240
39,december,1697,192
40,projects,1692,244
41,current,1670,250
42,government,1633,227
43,related,1599,245
44,decrease,1595,222
45,property,1520,243
46,decreased,1511,234
47,york,1468,258
48,notes,1457,263
49,prior,1450,212
50,development,1285,220
51,june,1277,113
52,analysis,1276,267
53,ended,1257,251
54,costs,1255,224
55,sewer,1247,183
56,end,1246,236
57,liabilities,1237,243
58,taxes,1235,231
59,service,1233,200
60,may,1204,227
61,basic,1166,237
62,longterm,1146,227
63,additional,1145,265
64,amount,1134,218
65,changes,1124,250
66,approximately,1123,200
67,primarily,1107,209
68,accounting,1106,255
69,available,1094,244
70,public,1088,235
71,future,1081,239
72,businesstype,995,142
73,operating,984,238
74,also,974,243
75,balances,973,222
76,operations,966,226
77,sales,938,219
78,fiduciary,938,217
79,compared,933,189
80,years,931,225
81,cash,921,232
82,community,911,235
83,investment,905,203
84,major,902,212
85,presented,898,218
86,deficit,880,184
87,provided,878,222
88,management,877,266
89,result,874,243
90,following,868,233
91,including,852,191
92,proprietary,845,142
93,unassigned,836,175
94,equipment,828,221
95,include,823,239
96,agency,822,162
97,increases,818,234
98,overview,801,268
99,restricted,793,199
100,interest,791,228
101,use,786,226
102,useful,784,172
103,health,776,200
104,section,769,195
105,account,767,210
106,financing,767,200
107,bonds,766,211
108,authority,761,147
109,improvements,756,200
110,annual,752,224
111,project,749,173
112,street,722,211
113,uses,721,221
114,outstanding,720,217
115,local,718,232
116,two,710,247
117,grants,705,196
118,cost,701,195
119,economic,698,234
120,found,685,172
121,less,679,214
122,deferred,679,179
123,discussion,673,263
124,aid,672,188
125,finance,671,220
126,retirement,670,187
127,well,669,230
128,spending,666,220
129,program,665,185
130,significant,657,205
131,benefits,656,208
132,focus,647,236
133,infrastructure,632,202
134,combined,624,196
135,special,612,174
136,included,608,188
137,charges,606,192
138,bond,601,184
139,totaled,598,172
140,liability,594,165
141,overall,586,206
142,requirements,580,199
143,actual,578,174
144,represents,577,185
145,support,570,188
146,offset,566,147
147,required,565,226
148,depreciation,564,197
149,expense,563,178
150,sources,560,204
151,council,557,186
152,budgetary,555,202
153,portion,553,182
154,finances,549,253
155,received,549,203
156,one,546,200
157,time,545,232
158,construction,542,169
159,budgeted,542,158
160,safety,537,194
161,department,536,168
162,ending,534,178
163,highlights,532,247
164,follows,530,196
165,factors,530,188
